sn,ecob,district_eng,district_nepali,district_code,province,prov_code,local_unit_eng,local_unit_nep,local_unit_code,mntp,local_2074,local_2079,census_2011,census_2021,finance_wb_district,finance_wb_local
1,Mountain,Taplejung,ताप्लेजुंग,101,Koshi,1,Phaktanlung Rural Municipality,फक्ताङ्लुङ्ग गाउँपालिका,10101,Rural Municipality,फक्ताङलुङ गाउँपालिका,फक्ताङलुङ गाउँपालिका,Phaktanlung Rural Municipality,Phaktanlung Rural Municipality,Taplejung,Faktanglung Rural Municipality
2,Mountain,Taplejung,ताप्लेजुंग,101,Koshi,1,Mikwakhola Rural Municipality,मिक्वाखोला गाउँपालिका,10102,Rural Municipality,मिक्वाखोला गाउँपालिका,मिक्वाखोला गाउँपालिका,Mikwakhola Rural Municipality,Mikwakhola Rural Municipality,Taplejung,Mikwakhola Rural Municipality
3,Mountain,Taplejung,ताप्लेजुंग,101,Koshi,1,Meringden Rural Municipality,मेरिङ्गदेन गाउँपालिका,10103,Rural Municipality,मेरिङदेन गाउँपालिका,मेरिङदेन गाउँपालिका,Meringden Rural Municipality,Meringden Rural Municipality,Taplejung,Meringden Rural Municipality
4,Mountain,Taplejung,ताप्लेजुंग,101,Koshi,1,Maiwakhola Rural Municipality,मैवाखोला गाउँपालिका,10104,Rural Municipality,मैवाखोला गाउँपालिका,मैवाखोला गाउँपालिका,Maiwakhola Rural Municipality,Maiwakhola Rural Municipality,Taplejung,Mewakhola Rural Municipality
5,Mountain,Taplejung,ताप्लेजुंग,101,Koshi,1,Aatharai Tribeni Rural Municipality,आठराई त्रिवेणी गाउँपालिका,10105,Rural Municipality,आठराई त्रिवेणी गाउँपालिका,आठराई त्रिवेणी गाउँपालिका,Aatharai Tribeni Rural Municipality,Aatharai Tribeni Rural Municipality,Taplejung,Athrai Triveni Rural Municipality
6,Mountain,Taplejung,ताप्लेजुंग,101,Koshi,1,Phungling Urban Municipality,फुङलिङ्ग नगरपालिका,10106,Urban Municipality,फुङलिङ नगरपालिका,फुङलिङ नगरपालिका,Phungling Urban Municipality,Phungling Urban Municipality,Taplejung,Fungling Urban Municipality
7,Mountain,Taplejung,ताप्लेजुंग,101,Koshi,1,Pathivara Yangwarak Rural Municipality,पाथीभरा याङवरक गाउँपालिका,10107,Rural Municipality,याङवरक गाउँपालिका,पाथीभरा याङवरक गाउँपालिका,Yangwarak Rural Municipality,Pathivara Yangwarak Rural Municipality,Taplejung,Pathivara Yangwarak Rural Municipality
8,Mountain,Taplejung,ताप्लेजुंग,101,Koshi,1,Sirijanga Rural Municipality,सिरीजङ्गा गाउंपालिका,10108,Rural Municipality,सिरीजङ्घा गाउँपालिका,सिरीजङ्घा गाउँपालिका,Sirijanga Rural Municipality,Sirijanga Rural Municipality,Taplejung,Sirijanga Rural Municipality
9,Mountain,Taplejung,ताप्लेजुंग,101,Koshi,1,Sidingba Rural Municipality,सिदिङ्गवा गाउँपालिका,10109,Rural Municipality,सिदिङ्वा गाउँपालिका,सिदिङ्वा गाउँपालिका,Sidingba Rural Municipality,Sidingba Rural Municipality,Taplejung,Sidingwa Rural Municipality
10,Mountain,Sankhuwasabha,संखुवासभा,102,Koshi,1,Bhotkhola Rural Municipality,भोटखोला गाउँपालिका,10201,Rural Municipality,भोटखोला गाउँपालिका,भोटखोला गाउँपालिका,Bhotkhola Rural Municipality,Bhotkhola Rural Municipality,Sankhuwasava,Bhotkhola Rural Municipality
11,Mountain,Sankhuwasabha,संखुवासभा,102,Koshi,1,Makalu Rural Municipality,मकालु गाउँपालिका,10202,Rural Municipality,मकालु गाउँपालिका,मकालु गाउँपालिका,Makalu Rural Municipality,Makalu Rural Municipality,Sankhuwasava,Makalu Rural Municipality
12,Mountain,Sankhuwasabha,संखुवासभा,102,Koshi,1,Silichong Rural Municipality,सिलीचोङ गाउँपालिका,10203,Rural Municipality,सिलीचोङ गाउँपालिका,सिलीचोङ गाउँपालिका,Silichong Rural Municipality,Silichong Rural Municipality,Sankhuwasava,Silichong Rural Municipality
13,Mountain,Sankhuwasabha,संखुवासभा,102,Koshi,1,Chichila Rural Municipality,चिचिला गाउँपालिका,10204,Rural Municipality,चिचिला गाउँपालिका,चिचिला गाउँपालिका,Chichila Rural Municipality,Chichila Rural Municipality,Sankhuwasava,Chichila Rural Municipality
14,Mountain,Sankhuwasabha,संखुवासभा,102,Koshi,1,Sabhapokhari Rural Municipality,सभापोखरी गाउँपालिका,10205,Rural Municipality,सभापोखरी गाउँपालिका,सभापोखरी गाउँपालिका,Sabhapokhari Rural Municipality,Sabhapokhari Rural Municipality,Sankhuwasava,Sabhapokhari Rural Municipality
