local_unit_code,Local Unit,District,Province,ecob,mntp,Audited Amount,Discrepancies,% of discrepancies,Previous year remaining,Federal Transfer,Provincial Transfer,Distributed Revenue,Internal Revenue,Other revenue,Total revenue,Current Expenditure,Capital Expenditure,Other expenditure,Total Expenditure,Remaining balance,year
10106,Phungling Urban Municipality,Taplejung,Koshi,Mountain,Urban Municipality,837390.0,26262.0,,18050.0,411139.0,,,,18861.0,430000,251611.0,155364.0,415.0,407390,40660,2017
10105,Aatharai Tribeni Rural Municipality,Taplejung,Koshi,Mountain,Rural Municipality,491110.0,10003.0,,5291.0,242880.0,,,,6449.0,249329,136814.0,104575.0,392.0,241781,12839,2017
10109,Sidingba Rural Municipality,Taplejung,Koshi,Mountain,Rural Municipality,458000.0,16414.0,,6682.0,246171.0,,,,5050.0,251221,124380.0,82399.0,0.0,206779,51124,2017
10101,Phaktanlung Rural Municipality,Taplejung,Koshi,Mountain,Rural Municipality,566684.0,13835.0,,5126.0,292434.0,,,,12812.0,305246,138279.0,122412.0,747.0,261438,48934,2017
10102,Mikwakhola Rural Municipality,Taplejung,Koshi,Mountain,Rural Municipality,378937.0,3062.0,,5204.0,196619.0,,,,3305.0,199924,92465.0,86548.0,0.0,179013,26115,2017
10103,Meringden Rural Municipality,Taplejung,Koshi,Mountain,Rural Municipality,462275.0,9904.0,,3290.0,246444.0,,,,7622.0,254066,124118.0,84091.0,0.0,208209,49147,2017
10104,Maiwakhola Rural Municipality,Taplejung,Koshi,Mountain,Rural Municipality,405822.0,2661.0,,5267.0,205660.0,,,,4223.0,209883,107161.0,88778.0,0.0,195939,19211,2017
10107,Pathivara Yangwarak Rural Municipality,Taplejung,Koshi,Mountain,Rural Municipality,504725.0,9577.0,,4908.0,255811.0,,,,11390.0,267201,135041.0,99524.0,2959.0,237524,34585,2017
10108,Sirijanga Rural Municipality,Taplejung,Koshi,Mountain,Rural Municipality,644852.0,17740.0,,5212.0,324498.0,,,,7372.0,331870,177292.0,134308.0,1382.0,312982,24100,2017
10904,Phidim Urban Municipality,Panchthar,Koshi,Hill,Urban Municipality,1183789.0,8427.0,,26215.0,539848.0,,,,81218.0,621066,271989.0,213308.0,77426.0,562723,84558,2017
10903,Falelung Rural Municipality,Panchthar,Koshi,Hill,Rural Municipality,638813.0,3894.0,,5748.0,322609.0,,,,8113.0,330722,139067.0,160914.0,8110.0,308091,28379,2017
10905,Falgunanda Rural Municipality,Panchthar,Koshi,Hill,Rural Municipality,639382.0,4314.0,,5262.0,335239.0,,,,9050.0,344289,149772.0,136829.0,8492.0,295093,54458,2017
10902,Hilihan Rural Municipality,Panchthar,Koshi,Hill,Rural Municipality,651940.0,5631.0,,5636.0,328712.0,,,,8052.0,336764,118068.0,185832.0,11276.0,315176,27224,2017
10906,Kummayak Rural Municipality,Panchthar,Koshi,Hill,Rural Municipality,486862.0,21831.0,,4965.0,248584.0,,,,4300.0,252884,52061.0,178357.0,3560.0,233978,23871,2017
10908,Miklajung Rural Municipality,Panchthar,Koshi,Hill,Rural Municipality,770036.0,13918.0,,5365.0,337867.0,,,,63795.0,401662,157375.0,147205.0,63794.0,368374,38653,2017
10907,Tumbewa Rural Municipality,Panchthar,Koshi,Hill,Rural Municipality,438099.0,9460.0,,5994.0,229042.0,,,,4869.0,233911,66078.0,133977.0,4133.0,204188,35717,2017
10901,Yangbarak Rural Municipality,Panchthar,Koshi,Hill,Rural Municipality,570298.0,5724.0,,5960.0,257506.0,,,,33331.0,290837,128964.0,117195.0,33302.0,279461,17336,2017
11003,Illam Urban Municipality,Ilam,Koshi,Hill,Urban Municipality,1308248.0,23414.0,,20613.0,566826.0,,,,117501.0,684327,355518.0,230817.0,37586.0,623921,81019,2017
11004,Deumai Urban Municipality,Ilam,Koshi,Hill,Urban Municipality,802250.0,2836.0,,17740.0,349208.0,,,,72640.0,421848,252955.0,113980.0,13467.0,380402,59186,2017
11008,Mai Urban Municipality,Ilam,Koshi,Hill,Urban Municipality,769679.0,405243.0,,6428.0,338277.0,,,,76703.0,414980,184484.0,150242.0,19973.0,354699,66709,2017
11009,Suryodaya Urban Municipality,Ilam,Koshi,Hill,Urban Municipality,1126874.0,8293.0,,53211.0,589739.0,,,,38001.0,627740,361507.0,130955.0,6672.0,499134,181817,2017
11005,Fakfokathum Rural Municipality,Ilam,Koshi,Hill,Rural Municipality,615479.0,146513.0,,5804.0,302578.0,,,,6217.0,308795,168961.0,127561.0,10162.0,306684,7915,2017
11007,Chulachuli Rural Municipality,Ilam,Koshi,Hill,Rural Municipality,516393.0,11528.0,,5956.0,229855.0,,,,45943.0,275798,145677.0,90378.0,4540.0,240595,41159,2017
11001,Mai Jogmai Rural Municipality,Ilam,Koshi,Hill,Rural Municipality,518831.0,6513.0,,6262.0,282263.0,,,,4422.0,286685,168204.0,63807.0,135.0,232146,60801,2017
11006,Mangsebung Rural Municipality,Ilam,Koshi,Hill,Rural Municipality,499412.0,18914.0,,4892.0,256457.0,,,,6485.0,262942,135132.0,93295.0,8043.0,236470,31364,2017
11010,Rong Rural Municipality,Ilam,Koshi,Hill,Rural Municipality,572334.0,4069.0,,7614.0,294828.0,,,,7019.0,301847,157745.0,105002.0,7740.0,270487,38974,2017
11002,Sandakpur Rural Municipality,Ilam,Koshi,Hill,Rural Municipality,468724.0,21180.0,,6093.0,238152.0,,,,7669.0,245821,118166.0,94789.0,9948.0,222903,29011,2017
