local_unit_code,Rural Urban,Province,Municipal Name,District,Year,Int Revenue,Fed Equalisation,Fed Conditional,Fed Complimentary,Fed Special,Capital Expenditure,Current Expenditure
70801,Rural Municipality,Sudurpashchim,Mohanyal Rural Municipality,Kailali,2018,6.05,,,,,180.96,106.976
70806,Rural Municipality,Sudurpashchim,Bardagoriya Rural Municipality,Kailali,2018,8.07,,,,,143.63,74.923
70809,Rural Municipality,Sudurpashchim,Joshipur Rural Municipalit,Kailali,2018,7.201,,,,,122.331,116.795
70808,Rural Municipality,Sudurpashchim,Janaki Rural Municipality,Kailali,2018,21.597,,,,,152.083,135.749
70802,Rural Municipality,Sudurpashchim,Chure Rural Municipality,Kailali,2018,5.804,,,,,135.877,121.056
70812,Rural Municipality,Sudurpashchim,Kailari Rural Municipality,Kailali,2018,9.307,,,,,214.057,163.268
70906,Rural Municipality,Sudurpashchim,Laaljhadi Rural Municipality,Kanchanpur,2018,11.644,,,,,115.326,74.286
70909,Rural Municipality,Sudurpashchim,Beldandi Rural Municipality,Kanchanpur,2018,21.308,,,,,115.469,84.415
70504,Rural Municipality,Sudurpashchim,Bhageswor Rural Municipality,Dadeldhura,2018,16.093,,,,,59.95,117.771
70501,Rural Municipality,Sudurpashchim,Nawadurga Rural Municipality,Dadeldhura,2018,11.713,,,,,100.308,125.124
70507,Rural Municipality,Sudurpashchim,Ganyapdhura Rural Municipality,Dadeldhura,2018,10.076,,,,,106.712,101.421
70506,Rural Municipality,Sudurpashchim,Alital Rural Municipality,Dadeldhura,2018,8.214,,,,,119.259,118.377
70503,Rural Municipality,Sudurpashchim,Ajayameroo Rural Municipality,Dadeldhura,2018,11.307,,,,,112.368,139.458
70404,Rural Municipality,Sudurpashchim,Surnaya Rural Municipality,Baitadi,2018,6.714,,,,,84.799,134.842
70410,Rural Municipality,Sudurpashchim,Sigas Rural Municipality,Baitadi,2018,9.781,,,,,83.643,125.16
70407,Rural Municipality,Sudurpashchim,Shivanath Rural Municipality,Baitadi,2018,6.87,,,,,95.806,82.179
