local_unit_code,district,local_unit,mntp,ecob,total_population_2011,total_population_2021,household_2011,household_2021,male_2011,male_2021,female_2011,female_2021
10101,Taplejung,Phaktanlung Rural Municipality,Rural Municipality,Mountain,12017.0,11791.0,2525.0,2832.0,5880.0,6088.0,6137.0,5703.0
10102,Taplejung,Mikwakhola Rural Municipality,Rural Municipality,Mountain,9160.0,7964.0,1869.0,1845.0,4313.0,3954.0,4847.0,4010.0
10103,Taplejung,Meringden Rural Municipality,Rural Municipality,Mountain,12548.0,11838.0,2578.0,2662.0,5809.0,5859.0,6739.0,5979.0
10104,Taplejung,Maiwakhola Rural Municipality,Rural Municipality,Mountain,11037.0,10213.0,2194.0,2249.0,5194.0,5153.0,5843.0,5060.0
10105,Taplejung,Aatharai Tribeni Rural Municipality,Rural Municipality,Mountain,13784.0,12296.0,2888.0,2854.0,6414.0,6066.0,7370.0,6230.0
10106,Taplejung,Phungling Urban Municipality,Urban Municipality,Mountain,26406.0,28449.0,5986.0,6898.0,12465.0,13981.0,13941.0,14468.0
10107,Taplejung,Pathivara Yangwarak Rural Municipality,Rural Municipality,Mountain,13591.0,11806.0,2834.0,2705.0,6295.0,5858.0,7296.0,5948.0
10108,Taplejung,Sirijanga Rural Municipality,Rural Municipality,Mountain,15806.0,14114.0,3227.0,3255.0,7482.0,7175.0,8324.0,6939.0
10109,Taplejung,Sidingba Rural Municipality,Rural Municipality,Mountain,12099.0,10979.0,2370.0,2476.0,5777.0,5531.0,6322.0,5448.0
10201,Sankhuwasabha,Bhotkhola Rural Municipality,Rural Municipality,Mountain,6576.0,6438.0,1379.0,1684.0,3204.0,3200.0,3372.0,3238.0
10202,Sankhuwasabha,Makalu Rural Municipality,Rural Municipality,Mountain,13572.0,13424.0,2922.0,3476.0,6790.0,6904.0,6782.0,6520.0
10203,Sankhuwasabha,Silichong Rural Municipality,Rural Municipality,Mountain,11806.0,10296.0,2412.0,2490.0,5746.0,5211.0,6060.0,5085.0
10204,Sankhuwasabha,Chichila Rural Municipality,Rural Municipality,Mountain,7065.0,6577.0,1518.0,1664.0,3410.0,3262.0,3655.0,3315.0
10205,Sankhuwasabha,Sabhapokhari Rural Municipality,Rural Municipality,Mountain,10492.0,9970.0,2192.0,2507.0,5029.0,4978.0,5463.0,4992.0
10206,Sankhuwasabha,Khandabari Urban Municipality,Urban Municipality,Mountain,31177.0,35565.0,7446.0,9309.0,14710.0,17356.0,16467.0,18209.0
10207,Sankhuwasabha,Panchakhapan Urban Municipality,Urban Municipality,Mountain,17521.0,16348.0,3634.0,4000.0,8143.0,8029.0,9378.0,8319.0
10208,Sankhuwasabha,Chainapur Urban Municipality,Urban Municipality,Mountain,27308.0,26799.0,5938.0,6648.0,12670.0,13125.0,14638.0,13674.0
10209,Sankhuwasabha,Madi Urban Municipality,Urban Municipality,Mountain,14470.0,13273.0,3216.0,3281.0,6623.0,6488.0,7847.0,6785.0
10210,Sankhuwasabha,Dharmadevi Urban Municipality,Urban Municipality,Mountain,18235.0,16053.0,3958.0,4059.0,8392.0,7825.0,9843.0,8228.0
10301,Solukhumbu,Khumbu Pasanglhamu Rural Municipality,Rural Municipality,Mountain,8989.0,8720.0,2433.0,2489.0,4493.0,4391.0,4496.0,4329.0
10302,Solukhumbu,Mahakulung Rural Municipality,Rural Municipality,Mountain,11452.0,11847.0,2450.0,2912.0,5619.0,5870.0,5833.0,5977.0
10303,Solukhumbu,Sotang Rural Municipality,Rural Municipality,Mountain,9530.0,9025.0,2048.0,2296.0,4700.0,4544.0,4830.0,4481.0
10304,Solukhumbu,Mapya Dudhkoshi Rural Municipality,Rural Municipality,Mountain,13414.0,12648.0,2803.0,3140.0,6529.0,6375.0,6885.0,6273.0
10305,Solukhumbu,Thulung Dudhkoshi Rural Municipality,Rural Municipality,Mountain,19672.0,18354.0,4240.0,4624.0,9431.0,9158.0,10241.0,9196.0
10306,Solukhumbu,Necha Salyan Rural Municipality,Rural Municipality,Mountain,16129.0,11381.0,3636.0,2783.0,7514.0,5597.0,8615.0,5784.0
10307,Solukhumbu,Solu Dhudhakunda Urban Municipality,Urban Municipality,Mountain,20399.0,25678.0,4980.0,6744.0,9627.0,12672.0,10772.0,13006.0
10308,Solukhumbu,Likhu Pike Rural Municipality,Rural Municipality,Mountain,5534.0,5334.0,1168.0,1251.0,2658.0,2673.0,2876.0,2661.0
10401,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Rural Municipality,Hill,15196.0,13844.0,3334.0,3305.0,6968.0,6784.0,8228.0,7060.0
10402,Okhaldhunga,Siddhicharan Urban Municipality,Urban Municipality,Hill,27995.0,27351.0,6994.0,7126.0,12625.0,13097.0,15370.0,14254.0
10403,Okhaldhunga,Molung Rural Municipality,Rural Municipality,Hill,16241.0,16440.0,3669.0,4069.0,7529.0,8027.0,8712.0,8413.0
10404,Okhaldhunga,Khiji Demba Rural Municipality,Rural Municipality,Hill,15106.0,15559.0,3111.0,3438.0,7273.0,7831.0,7833.0,7728.0
10405,Okhaldhunga,Likhu Rural Municipality,Rural Municipality,Hill,14049.0,12104.0,2957.0,3161.0,6522.0,5918.0,7527.0,6186.0
